agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
USGS,01036390,"Penobscot River at Eddington, Maine",ST,44.82666667,-68.6966667,S,NAD83,7.2,0.01,NGVD29,01020005,dv,00065,00003,63770,,wat,,17164583,0,1998-10-01,2023-07-26,9008
USGS,01354330,MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY,ST,42.8281583,-73.9903722,H,NAD83,199.46,0.01,NAVD88,02020004,dv,00065,00003,105047,,wat,,17164583,0,2011-12-14,2023-07-26,4234
USGS,01503500,SUSQUEHANNA RIVER AT BINGHAMTON NY,ST,42.0925,-75.9147222,S,NAD83,821.02,0.01,NAVD88,02050101,dv,00065,00003,105441,,wat,,17164583,0,2009-07-24,2023-07-26,5112
USGS,03010720,DODGE CREEK AT PORTVILLE NY,ST,42.03630556,-78.3423611,1,NAD83,1410.93,0.01,NAVD88,05010001,dv,00065,00003,105515,,wat,,17164583,0,2010-06-18,2023-07-26,4372
USGS,04237411,"SENECA RIVER, MOUTH OF STATE DITCH, NR JORDAN NY",ST,43.11502778,-76.4386111,1,NAD83,371.19,0.01,NAVD88,04140201,dv,00065,00003,294569,,wat,,17164583,0,1996-04-10,2023-07-26,9788
USGS,02228500,"NORTH PRONG ST. MARYS RIVER AT MONIAC, GA",ST,30.51773125,-82.2303954,S,NAD83,,,,03070204,dv,00065,00003,22176,,wat,,17164583,0,1921-01-26,2023-07-26,27573
USGS,02231000,"ST. MARYS RIVER NEAR MACCLENNY, FL",ST,30.35884726,-82.0815013,S,NAD83,40,1,NGVD29,03070204,dv,00065,00003,22192,,wat,,17164583,0,1926-10-01,2023-07-26,34711
USGS,02231291,"NASSAU RIVER NEAR TISONIA, FL",ST,30.5507931,-81.5898179,S,NAD83,,,,03070205,dv,00065,00003,22215,,wat,,17164583,0,1985-07-23,2023-07-26,7954
USGS,02231342,"FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL",ST,27.5686473,-80.7961709,S,NAD83,,,,03080101,dv,00065,00003,324337,,wat,,17164583,0,1977-06-15,2023-07-26,16510
USGS,02231396,"BLUE CYPRESS CREEK NEAR FELLSMERE, FL",ST,27.72808533,-80.80505949,S,NAD83,,,,03080101,dv,00065,00003,22237,,wat,,17164583,0,1995-12-14,2023-07-25,9922
USGS,02231600,"JANE GREEN CREEK NEAR DEER PARK, FL",ST,28.074462,-80.8881155,S,NAD83,18.55,2.5,NGVD29,03080101,dv,00065,00003,22250,,wat,,17164583,0,1953-10-22,2023-07-26,25132
USGS,02232000,"ST. JOHNS RIVER NEAR MELBOURNE, FL",ST,28.08473879,-80.752001,S,NAD83,11.22,2.5,NGVD29,03080101,dv,00065,00003,22253,,wat,,17164583,0,1939-11-08,2023-07-26,30429
USGS,02232155,"PENNYWASH CREEK NEAR DEER PARK, FL",ST,28.18195808,-80.8953373,S,NAD83,,,,03080101,dv,00065,00003,22256,,wat,,17164583,0,1994-08-16,2023-07-26,9955
USGS,02232200,"WOLF CREEK NEAR DEER PARK, FL",ST,28.2130681,-80.91089309,S,NAD83,19.35,2.5,NGVD29,03080101,dv,00065,00003,22260,,wat,,17164583,0,1956-01-10,2023-07-26,24208
USGS,02232400,"ST. JOHNS RIVER NEAR COCOA, FL",ST,28.36972837,-80.8725578,S,NAD83,,,,03080101,dv,00065,00003,22268,,wat,,17164583,0,1953-10-01,2023-07-26,25167
USGS,02232415,"TAYLOR CREEK NEAR COCOA, FL",ST,28.3525071,-80.9283928,S,NAD83,,,,03080101,dv,00065,00003,22276,,wat,,17164583,0,1997-01-15,2023-07-26,3809
USGS,02232500,"ST. JOHNS RIVER NEAR CHRISTMAS, FL",ST,28.54305529,-80.943392,S,NAD83,1.62,0.1,NGVD29,03080101,dv,00065,00003,22284,,wat,,17164583,0,1933-10-03,2023-07-26,32429
USGS,02233475,"LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL",ST,28.6199987,-81.20784299,S,NAD83,,,,03080101,dv,00065,00003,22312,,wat,,17164583,0,1996-10-01,2023-07-26,9685
USGS,02233484,"ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL",ST,28.65555285,-81.169786,S,NAD83,,,,03080101,dv,00065,00003,22315,,wat,,17164583,0,2001-12-04,2023-07-26,7843
USGS,02233500,"ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL",ST,28.67777778,-81.1141667,S,NAD83,,,,03080101,dv,00065,00003,22318,,wat,,17164583,0,1935-11-06,2023-07-26,30928
USGS,02234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",ST,28.7141611,-81.0353374,S,NAD83,,,,03080101,dv,00065,00003,22323,,wat,,17164583,0,1941-07-29,2023-07-26,29672
USGS,02234308,"HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL",ST,28.6315,-81.32463889,5,NAD83,0,0.01,NGVD29,03080101,dv,00065,00003,22361,,wat,,17164583,0,1996-09-05,2023-07-26,9055
USGS,02234324,"HOWELL CREEK NEAR SLAVIA, FL",ST,28.64777587,-81.2645109,S,NAD83,,,,03080101,dv,00065,00003,22365,,wat,,17164583,0,1972-02-01,2023-07-26,17838
USGS,02234344,"HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL",ST,28.68999664,-81.2475656,S,NAD83,,,,03080101,dv,00065,00003,22367,,wat,,17164583,0,1999-06-22,2023-07-26,8653
USGS,02234384,"SOLDIER CREEK NEAR LONGWOOD, FL",ST,28.71888466,-81.308678,S,NAD83,,,,03080101,dv,00065,00003,22376,,wat,,17164583,0,1972-02-01,2023-07-26,14607
USGS,02234400,"GEE CREEK NEAR LONGWOOD, FL",ST,28.7041629,-81.2906221,S,NAD83,,,,03080101,dv,00065,00003,22381,,wat,,17164583,0,1972-01-24,2023-07-26,15902
USGS,02234435,"LAKE JESUP OUTLET NEAR SANFORD, FL",ST,28.78415969,-81.18117379,S,NAD83,,,,03080101,dv,00065,00003,22398,,wat,,17164583,0,1991-10-01,2023-07-26,10833
USGS,02234500,"ST. JOHNS RIVER NEAR SANFORD, FL",ST,28.83804694,-81.3242323,S,NAD83,,,,03080101,dv,00065,00003,22406,,wat,,17164583,0,1987-04-28,2023-07-26,11240
USGS,02234990,"LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL",ST,28.6872192,-81.3970138,S,NAD83,,,,03080101,dv,00065,00003,173316,,wat,,17164583,0,1972-02-01,2023-07-26,18118
USGS,02235000,"WEKIVA RIVER NEAR SANFORD, FL",ST,28.81426389,-81.4193056,S,NAD83,4.96,0.01,NGVD29,03080101,dv,00065,00003,22446,,wat,,17164583,0,1935-11-06,2023-07-26,31458
USGS,02235200,"BLACKWATER CREEK NEAR CASSIA, FL",ST,28.87444444,-81.4897222,1,NAD83,18.55,2.5,NGVD29,03080101,dv,00065,00003,22450,,wat,,17164583,0,1967-08-07,2023-07-26,15198
USGS,02235500,"BLUE SPRINGS NEAR ORANGE CITY, FL",SP,28.944154,-81.3397866,S,NAD83,,,,03080101,dv,00065,00003,22465,,wat,,17164583,0,1998-11-23,2023-07-26,8610
USGS,02236000,"ST. JOHNS RIVER NEAR DE LAND, FL",ST,29.00831827,-81.3825651,S,NAD83,-0.09,2.5,NGVD29,03080101,dv,00065,00003,22478,,wat,,17164583,0,1934-01-23,2023-07-26,32097
USGS,02236125,"ST. JOHNS RIVER AT ASTOR, FL",ST,29.16692445,-81.5220157,S,NAD83,,,,03080101,dv,00065,00003,22491,,wat,,17164583,0,1931-09-01,2023-07-26,11480
USGS,02236160,"SILVER GLEN SPRINGS NEAR ASTOR, FL",SP,29.24469863,-81.6425767,S,NAD83,,,,03080101,dv,00065,00003,22507,,wat,,17164583,0,2002-11-01,2023-07-26,7385
USGS,02236350,"GREEN SWAMP RUN NEAR EVA, FL",ST,28.3111212,-81.6853534,S,NAD83,116.16,2.5,NGVD29,03080102,dv,00065,00003,22518,,wat,,17164583,0,1979-07-01,2023-07-26,15285
USGS,02236500,"BIG CREEK NEAR CLERMONT, FL",ST,28.44778229,-81.74007599,S,NAD83,98.97,2.5,NGVD29,03080102,dv,00065,00003,22520,,wat,,17164583,0,1958-07-17,2023-07-26,23157
USGS,02236605,"LITTLE CREEK AT GREEN SWAMP ROAD NEAR CLERMONT, FL",ST,28.4486152,-81.7814655,S,NAD83,,,,03080102,dv,00065,00003,22525,,wat,,17164583,0,2005-06-11,2023-07-26,6407
USGS,02236900,"PALATLAKAHA R AT CHERRY LK OUT NEAR GROVELAND, FL",ST,28.59277586,-81.8222998,S,NAD83,,,,03080102,dv,00065,00003,169652,,wat,,17164583,0,1956-09-19,2023-07-26,23345
