agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
USGS,01036390,"Penobscot River at Eddington, Maine",ST,44.82666667,-68.6966667,S,NAD83,7.2,0.01,NGVD29,01020005,dv,00065,00003,63770,,wat,,17164583,0,1998-10-01,2024-02-14,9211
USGS,01317000,SCHROON RIVER AT RIVERBANK NY,ST,43.60952778,-73.7375,1,NAD83,699.1,0.14,NAVD88,02020001,dv,00065,00003,251633,,wat,,17164583,0,2017-09-30,2024-02-14,2311
USGS,01350750,SCHOHARIE CREEK AT SCHOHARIE NY,ST,42.66544444,-74.326,1,NAD83,582.18,0.08,NAVD88,02020005,dv,00065,00003,237088,,wat,,17164583,0,2017-12-08,2024-02-14,2252
USGS,01351450,SCHOHARIE CREEK AT ESPERANCE NY,ST,42.7605833,-74.25477778,1,NAD83,551.31,0.01,NAVD88,02020005,dv,00065,00003,237107,,wat,,17164583,0,2017-12-03,2024-02-14,2247
USGS,01354230,MOHAWK RIVER AT LOCK 9 AT ROTTERDAM JUNCTION NY,ST,42.87827778,-74.04075,1,NAD83,,,,02020004,dv,00065,00003,265679,,wat,,17164583,0,2019-12-12,2024-02-14,1467
USGS,01354330,MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY,ST,42.8281583,-73.9903722,H,NAD83,199.46,0.01,NAVD88,02020004,dv,00065,00003,105047,,wat,,17164583,0,2011-12-14,2024-02-14,4437
USGS,01355475,MOHAWK RIVER AT REXFORD NY,ST,42.8511111,-73.88725,1,NAD83,199.46,0.01,NAVD88,02020004,dv,00065,00003,105049,,wat,,17164583,0,2014-06-27,2024-02-14,3517
USGS,01356000,MOHAWK RIVER AT VISCHER FERRY DAM NY,ST,42.80419444,-73.8476667,1,NAD83,199.46,0.01,NAVD88,02020004,dv,00065,00003,105051,,wat,,17164583,0,2014-11-01,2024-02-14,3389
USGS,01359525,NORMANS KILL AT KARLSFELD NY,ST,42.64791667,-73.846,1,NAD83,85.86,0.01,NAVD88,02020006,dv,00065,00003,105078,,wat,,17164583,0,2015-06-04,2024-02-14,3176
USGS,01365080,PEPACTON RES DIV OUTLET NR GRAHAMSVILLE NY,ST,41.8598611,-74.5099722,1,NAD83,833.51,0.2,NAVD88,02020007,dv,00065,00003,333167,,wat,,17164583,0,2021-11-19,2024-02-14,817
USGS,01503500,SUSQUEHANNA RIVER AT BINGHAMTON NY,ST,42.0925,-75.9147222,S,NAD83,821.02,0.01,NAVD88,02050101,dv,00065,00003,105441,,wat,,17164583,0,2009-07-24,2024-02-14,5315
USGS,01509520,TIOUGHNIOGA RIVER AT LISLE NY,ST,42.34944444,-75.9991667,S,NAD83,956.06,0.01,NAVD88,02050102,dv,00065,00003,246231,,wat,,17164583,0,2017-09-30,2024-02-14,2329
USGS,01511500,TIOUGHNIOGA RIVER AT ITASKA NY,ST,42.29805556,-75.90888889,S,NAD83,917.52,0.01,NAVD88,02050102,dv,00065,00003,250986,,wat,,17164583,0,2017-09-30,2024-02-14,2329
USGS,01528320,COHOCTON RIVER AT BATH NY,ST,42.3433333,-77.34388889,S,NAD83,1099.35,0.12,NAVD88,02050105,dv,00065,00003,245138,,wat,,17164583,0,2017-09-30,2024-02-14,2327
USGS,03010674,ROOT CREEK AT DAVIS STREET AT BOLIVAR NY,ST,42.06438889,-78.1629444,1,NAD83,1605.79,0.01,NAVD88,05010001,dv,00065,00003,105514,,wat,,17164583,0,2012-10-30,2024-02-14,3010
USGS,03010720,DODGE CREEK AT PORTVILLE NY,ST,42.03630556,-78.3423611,1,NAD83,1410.93,0.01,NAVD88,05010001,dv,00065,00003,105515,,wat,,17164583,0,2010-06-18,2024-02-14,4528
