agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
USGS,01377000,Hackensack River at Rivervale NJ,ST,40.99916667,-73.9891667,S,NAD83,22.51,0.01,NGVD29,02030103,dv,00060,00003,95977,,wat,,1645423,0,1941-10-01,2024-02-14,30087
USGS,01377370,Pascack Brook at Park Ridge NJ,ST,41.03666667,-74.0391667,S,NAD83,129.9,0.1,NGVD29,02030103,dv,00060,00003,95978,,wat,,1645423,0,2004-04-01,2024-02-14,6732
USGS,01377500,Pascack Brook at Westwood NJ,ST,40.99277778,-74.0211111,S,NAD83,28.62,0.01,NGVD29,02030103,dv,00060,00003,95984,,wat,,1645423,0,1934-10-01,2024-02-14,32644
USGS,01378500,Hackensack River at New Milford NJ,ST,40.9483333,-74.0266667,S,NAD83,6.25,0.01,NGVD29,02030103,dv,00060,00003,96003,,wat,,1645423,0,1921-10-01,2024-02-14,37086
USGS,01379000,Passaic River near Millington NJ,ST,40.68,-74.52888889,S,NAD83,215.6,0.01,NGVD29,02030103,dv,00060,00003,292999,,wat,,1645423,0,1903-12-01,2024-02-14,38335
USGS,01379500,Passaic River near Chatham NJ,ST,40.7261111,-74.3897222,R,NAD83,193.51,0.01,NGVD29,02030103,dv,00060,00003,96072,,wat,,1645423,0,1903-03-01,2024-02-14,34455
USGS,01379530,Canoe Brook near Summit NJ,ST,40.74444444,-74.3536111,S,NAD83,159.64,0.01,NGVD29,02030103,dv,00060,00003,96075,,wat,,1645423,0,1965-10-01,2024-02-14,18924
USGS,01379773,Green Pond Brook at Picatinny Arsenal NJ,ST,40.96,-74.5397222,S,NAD83,712.54,0.01,NGVD29,02030103,dv,00060,00003,96088,,wat,,1645423,0,1982-10-01,2024-02-14,15112
USGS,01379780,Green Pond Bk blw Picatinny Lk at Picatinny Ars NJ,ST,40.94944444,-74.5572222,S,NAD83,694.91,0.01,NGVD29,02030103,dv,00060,00003,96097,,wat,,1645423,0,1984-10-01,2024-02-14,14381
USGS,01379845,Rockaway River at Warren Street at Dover NJ,ST,40.8861111,-74.56,S,NAD83,561.83,0.01,NGVD29,02030103,dv,00060,00003,96111,,wat,,1645423,0,2012-02-01,2024-02-14,4396
USGS,01380450,Rockaway River at Main Street at Boonton NJ,ST,40.9075,-74.4191667,S,NAD83,479,0.01,NAVD88,02030103,dv,00060,00003,96114,,wat,,1645423,0,1937-10-01,2024-02-14,31548
USGS,01381000,Rockaway River below Reservoir at Boonton NJ,ST,40.89694444,-74.3947222,S,NAD83,195.68,0.02,NGVD29,02030103,dv,00060,00003,96119,,wat,,1645423,0,1906-01-01,2024-02-14,42870
USGS,01381400,Whippany River near Morristown NJ,ST,40.8122222,-74.5119444,S,NAD83,310,10,NGVD29,02030103,dv,00060,00003,293014,,wat,,1645423,0,1995-08-24,2024-02-14,10402
USGS,01381500,Whippany River at Morristown NJ,ST,40.8072222,-74.4569444,S,NAD83,260.01,0.01,NGVD29,02030103,dv,00060,00003,96121,,wat,,1645423,0,1921-10-01,2024-02-14,37392
USGS,01381800,Whippany River near Pine Brook NJ,ST,40.845,-74.3472222,S,NAD83,162,2,NGVD29,02030103,dv,00060,00003,96125,,wat,,1645423,0,1996-10-01,2024-02-14,9931
USGS,01381900,Passaic River at Pine Brook NJ,ST,40.8625,-74.3216667,S,NAD83,149.26,0.02,NGVD29,02030103,dv,00060,00003,96139,,wat,,1645423,0,1979-10-01,2024-02-14,15885
