 Lat,Lon,Cat-0[Clim],Cat-0[ANLG],Cat-1[Clim],Cat-1[ANLG],Cat-2[Clim],Cat-2[ANLG],Cat-3[Clim],Cat-3[ANLG]
15.2,42.1,0.0001,0.0005,0,0,0,0,,
15.3,42.1,0.0002,0.0003,0,0,0,0,,
15.4,42.1,0.0002,0.0001,0,0,0,0,,
14.9,42.2,0.0001,0.0005,0,0,0,0,,
15,42.2,0.0003,0.0008,0,0,0,0,,
15.1,42.2,0.0007,0.0012,0,0,0,0,,
15.2,42.2,0.0007,0.0016,0,0,0,0,,
15.3,42.2,0.0007,0.0014,0,0,0,0,,
15.4,42.2,0.0007,0.0011,0,0,0,0,,
15.5,42.2,0.0013,0.0013,0,0,0,0,,
15.6,42.2,0.0008,0.0008,0,0,0,0,,
15.7,42.2,0.0007,0.0009,0,0,0,0,,
15.8,42.2,0.0001,0.0006,0,0.0001,0,0,,
16.3,42.2,0.0003,0.0002,0,0,0,0,,
16.4,42.2,0.0002,0.0003,0,0,0,0,,
14.8,42.3,0.0002,0.0007,0,0,0,0,,
14.9,42.3,0.0005,0.0017,0,0,0,0,,
15,42.3,0.0009,0.0023,0,0,0,0,,
15.1,42.3,0.0012,0.003,0,0,0,0,,
15.2,42.3,0.0022,0.0034,0,0,0,0,,
15.3,42.3,0.0021,0.0043,0,0,0,0,,
15.4,42.3,0.0027,0.0045,0,0,0,0,,
15.5,42.3,0.0026,0.0047,0,0.0001,0,0,,
15.6,42.3,0.0025,0.004,0,0.0002,0,0,,
15.7,42.3,0.0022,0.0032,0,0.0001,0,0,,
15.8,42.3,0.0022,0.0025,0,0.0001,0,0,,
15.9,42.3,0.0008,0.0018,0,0.0001,0,0,,
16,42.3,0.0008,0.0016,0,0.0001,0,0,,
16.1,42.3,0.0007,0.0011,0,0.0001,0,0,,
16.2,42.3,0.001,0.0007,0,0,0,0,,
16.3,42.3,0.0007,0.0007,0,0.0001,0,0,,
16.4,42.3,0.0011,0.0007,0,0,0,0,,
16.5,42.3,0.0006,0.0005,0,0,0,0,,
16.6,42.3,0.0006,0.0005,0,0,0,0,,
16.7,42.3,0.0002,0.0003,0,0,0,0,,
14.7,42.4,0.0004,0.0006,0,0,0,0,,
14.8,42.4,0.0008,0.0022,0,0,0,0,,
14.9,42.4,0.0017,0.0038,0,0,0,0,,
15,42.4,0.0021,0.0048,0,0,0,0,,
15.1,42.4,0.0032,0.0056,0,0,0,0,,
15.2,42.4,0.0034,0.0061,0,0.0001,0,0,,
15.3,42.4,0.004,0.0073,0,0.0001,0,0,,
15.4,42.4,0.0041,0.0082,0,0.0002,0,0,,
15.5,42.4,0.0043,0.0081,0,0.0002,0,0,,
15.6,42.4,0.0037,0.007,0,0.0002,0,0,,
15.7,42.4,0.0036,0.0049,0,0.0002,0,0,,
15.8,42.4,0.0026,0.004,0,0.0002,0,0,,
15.9,42.4,0.0031,0.0036,0,0.0002,0,0,,
16,42.4,0.0026,0.0034,0,0.0002,0,0,,
16.1,42.4,0.0026,0.0032,0,0.0002,0,0,,
16.2,42.4,0.002,0.0021,0,0.0002,0,0,,
16.3,42.4,0.0018,0.0018,0,0.0001,0,0,,
16.4,42.4,0.0018,0.0014,0,0.0001,0,0,,
16.5,42.4,0.0016,0.0012,0,0.0001,0,0,,
16.6,42.4,0.0012,0.001,0,0.0001,0,0,,
16.7,42.4,0.0011,0.0007,0,0,0,0,,
16.8,42.4,0.0002,0.0003,0,0,0,0,,
14.3,42.5,0.0002,0.0002,0,0,0,0,,
14.4,42.5,0.0008,0.0005,0.0001,0,0,0,,
14.5,42.5,0.0009,0.0009,0.0001,0,0,0,,
14.6,42.5,0.0015,0.0018,0.0001,0,0.0001,0,,
14.7,42.5,0.0021,0.0028,0,0,0,0,,
14.8,42.5,0.003,0.0046,0,0,0,0,,
14.9,42.5,0.0037,0.0067,0,0.0001,0,0,,
15,42.5,0.0046,0.0078,0,0.0001,0,0,,
15.1,42.5,0.0049,0.0085,0,0.0001,0,0,,
15.2,42.5,0.0053,0.0088,0,0.0002,0,0,,
15.3,42.5,0.0057,0.0096,0.0001,0.0002,0,0,,
15.4,42.5,0.0063,0.0105,0,0.0002,0,0,,
15.5,42.5,0.0055,0.0107,0,0.0002,0,0,,
15.6,42.5,0.0055,0.0096,0,0.0002,0,0,,
15.7,42.5,0.0051,0.0077,0.0001,0.0002,0,0,,
15.8,42.5,0.0045,0.0064,0,0.0002,0,0,,
15.9,42.5,0.0045,0.0056,0,0.0002,0,0,,
16,42.5,0.0044,0.0062,0,0.0002,0,0,,
16.1,42.5,0.0038,0.0058,0,0.0002,0,0,,
16.2,42.5,0.0035,0.0038,0,0.0002,0,0,,
16.3,42.5,0.0025,0.0032,0,0.0001,0,0,,
16.4,42.5,0.0026,0.0026,0,0.0001,0,0,,
16.5,42.5,0.0022,0.0022,0,0.0001,0,0,,
16.6,42.5,0.002,0.002,0,0.0001,0,0,,
16.7,42.5,0.0014,0.0012,0,0.0001,0,0,,
16.8,42.5,0.0007,0.0006,0,0,0,0,,
13.9,42.6,0.0005,0.0002,0,0,0,0,,
14,42.6,0.0005,0.0007,0,0,0,0,,
14.1,42.6,0.0012,0.0005,0.0001,0,0,0,,
14.2,42.6,0.0012,0.0012,0.0002,0.0002,0.0001,0,,
14.3,42.6,0.0022,0.0019,0.0002,0,0.0001,0,,
14.4,42.6,0.003,0.0025,0.0002,0.0001,0.0001,0,,
14.5,42.6,0.0034,0.0038,0.0002,0,0.0001,0,,
14.6,42.6,0.0042,0.0043,0.0002,0,0.0001,0,,
14.7,42.6,0.0053,0.0063,0.0002,0,0.0001,0,,
14.8,42.6,0.0058,0.0085,0.0002,0.0001,0.0001,0,,
14.9,42.6,0.0065,0.0104,0.0001,0.0001,0.0001,0,,
15,42.6,0.0069,0.0109,0.0001,0.0001,0,0,,
15.1,42.6,0.0079,0.0119,0.0001,0.0001,0,0,,
15.2,42.6,0.0081,0.0125,0.0001,0.0002,0,0,,
15.3,42.6,0.0081,0.0135,0.0001,0.0002,0,0,,
15.4,42.6,0.0084,0.014,0.0002,0.0003,0,0,,
15.5,42.6,0.0083,0.0137,0.0002,0.0004,0,0,,
15.6,42.6,0.0077,0.0124,0.0002,0.0004,0,0,,
15.7,42.6,0.0071,0.0118,0.0001,0.0003,0,0,,
15.8,42.6,0.0065,0.0093,0.0001,0.0003,0,0,,
15.9,42.6,0.0069,0.0091,0.0001,0.0004,0,0,,
16,42.6,0.0065,0.0092,0.0001,0.0005,0,0,,
16.1,42.6,0.0058,0.0077,0,0.0002,0,0,,
16.2,42.6,0.0045,0.006,0,0.0002,0,0,,
16.3,42.6,0.004,0.0048,0,0.0001,0,0,,
16.4,42.6,0.0034,0.0045,0,0.0001,0,0,,
16.5,42.6,0.003,0.0035,0,0.0001,0,0,,
16.6,42.6,0.0026,0.0028,0,0.0001,0,0,,
16.7,42.6,0.0019,0.0017,0,0.0001,0,0,,
16.8,42.6,0.0009,0.0007,0,0,0,0,,
13.2,42.7,0.0005,0.0002,0.0002,0,0.0001,0,,
13.3,42.7,0.0005,0.0001,0,0,0,0,,
13.4,42.7,0.0002,0,0,0,0,0,,
13.5,42.7,0.0002,0.0001,0,0,0,0,,
13.6,42.7,0.0008,0.0009,0,0.0001,0,0,,
13.7,42.7,0.0011,0.0011,0,0,0,0,,
13.8,42.7,0.0017,0.0013,0.0001,0,0,0,,
13.9,42.7,0.0021,0.0026,0.0001,0.0002,0.0001,0,,
14,42.7,0.0026,0.0026,0.0002,0.0002,0.0001,0,,
14.1,42.7,0.0036,0.0033,0.0002,0.0003,0.0001,0,,
14.2,42.7,0.0042,0.004,0.0003,0.0002,0.0002,0,,
14.3,42.7,0.0046,0.0051,0.0004,0.0002,0.0002,0,,
14.4,42.7,0.0053,0.0056,0.0003,0.0002,0.0002,0,,
14.5,42.7,0.0057,0.0067,0.0003,0.0002,0.0002,0,,
14.6,42.7,0.0071,0.0077,0.0002,0.0001,0.0001,0,,
14.7,42.7,0.0077,0.0103,0.0002,0.0002,0.0001,0,,
14.8,42.7,0.0082,0.0115,0.0002,0.0001,0.0001,0,,
14.9,42.7,0.0091,0.0133,0.0002,0.0001,0.0001,0,,
15,42.7,0.0109,0.0147,0.0002,0.0001,0.0001,0,,
15.1,42.7,0.0114,0.0163,0.0002,0.0002,0,0,,
15.2,42.7,0.0119,0.0172,0.0002,0.0002,0,0,,
15.3,42.7,0.0122,0.0179,0.0002,0.0003,0,0,,
15.4,42.7,0.0123,0.0184,0.0002,0.0005,0,0,,
15.5,42.7,0.0115,0.0175,0.0002,0.0004,0,0,,
15.6,42.7,0.0108,0.0164,0.0002,0.0004,0,0,,
15.7,42.7,0.0101,0.0164,0.0002,0.0005,0,0.0001,,
15.8,42.7,0.0102,0.0136,0.0001,0.0004,0,0,,
15.9,42.7,0.0093,0.0135,0.0001,0.0005,0,0,,
16,42.7,0.0097,0.012,0.0001,0.0006,0,0,,
16.1,42.7,0.0078,0.0106,0.0001,0.0004,0,0,,
16.2,42.7,0.0065,0.0093,0,0.0003,0,0,,
16.3,42.7,0.0052,0.0074,0,0.0004,0,0,,
16.4,42.7,0.0043,0.0057,0,0.0001,0,0,,
16.5,42.7,0.0037,0.0053,0,0.0001,0,0,,
16.6,42.7,0.0032,0.0039,0,0.0001,0,0,,
16.7,42.7,0.002,0.0028,0,0.0001,0,0,,
16.8,42.7,0.0016,0.0009,0,0,0,0,,
16.9,42.7,0.0002,0.0003,0,0,0,0,,
12.9,42.8,0.0005,0.0002,0.0002,0,0.0001,0,,
13,42.8,0.001,0.0003,0.0002,0,0.0001,0,,
13.1,42.8,0.0014,0.0006,0.0003,0,0.0001,0,,
13.2,42.8,0.0014,0.0007,0.0002,0,0.0001,0,,
13.3,42.8,0.002,0.0015,0.0002,0.0001,0.0001,0,,
13.4,42.8,0.0022,0.0017,0.0002,0.0001,0.0001,0,,
13.5,42.8,0.0032,0.0021,0.0004,0.0001,0.0001,0,,
13.6,42.8,0.0035,0.0035,0.0001,0.0002,0,0,,
13.7,42.8,0.0034,0.0039,0.0001,0.0002,0,0,,
13.8,42.8,0.004,0.0052,0.0002,0.0004,0.0001,0,,
13.9,42.8,0.0049,0.0058,0.0002,0.0004,0.0001,0,,
14,42.8,0.0057,0.0061,0.0003,0.0004,0.0001,0,,
14.1,42.8,0.0058,0.0068,0.0004,0.0004,0.0001,0,,
14.2,42.8,0.0062,0.0077,0.0004,0.0005,0.0002,0,,
14.3,42.8,0.0072,0.0081,0.0004,0.0003,0.0002,0,,
14.4,42.8,0.0081,0.0095,0.0004,0.0005,0.0002,0,,
14.5,42.8,0.0082,0.0098,0.0004,0.0003,0.0002,0,,
14.6,42.8,0.0094,0.012,0.0004,0.0003,0.0002,0,,
14.7,42.8,0.0104,0.0134,0.0003,0.0002,0.0001,0,,
14.8,42.8,0.0107,0.0154,0.0002,0.0003,0.0001,0,,
14.9,42.8,0.0122,0.0179,0.0002,0.0002,0.0001,0,,
15,42.8,0.013,0.0185,0.0002,0.0002,0.0001,0,,
15.1,42.8,0.0139,0.0206,0.0002,0.0003,0,0,,
15.2,42.8,0.0143,0.0212,0.0002,0.0003,0,0,,
15.3,42.8,0.0161,0.0231,0.0002,0.0004,0,0,,
15.4,42.8,0.0156,0.0237,0.0002,0.0007,0,0.0001,,
15.5,42.8,0.0152,0.0226,0.0003,0.0006,0,0.0001,,
15.6,42.8,0.0145,0.0216,0.0002,0.0007,0,0.0001,,
15.7,42.8,0.014,0.0213,0.0002,0.0007,0,0.0001,,
15.8,42.8,0.0128,0.0189,0.0002,0.0007,0,0.0001,,
15.9,42.8,0.0127,0.0176,0.0001,0.0007,0,0.0001,,
16,42.8,0.0114,0.0161,0.0002,0.0008,0,0.0001,,
16.1,42.8,0.0095,0.0136,0.0001,0.0007,0,0,,
16.2,42.8,0.0079,0.011,0,0.0006,0,0,,
16.3,42.8,0.0069,0.0086,0,0.0004,0,0,,
16.4,42.8,0.0058,0.0075,0,0.0003,0,0,,
16.5,42.8,0.0049,0.0066,0,0.0002,0,0,,
16.6,42.8,0.0038,0.005,0,0.0002,0,0,,
16.7,42.8,0.0029,0.0038,0,0.0001,0,0,,
16.8,42.8,0.0016,0.0017,0,0.0001,0,0,,
16.9,42.8,0.0005,0.0002,0,0,0,0,,
12.7,42.9,0.0001,0.0004,0.0001,0,0,0,,
12.8,42.9,0.0012,0.001,0.0005,0.0002,0.0002,0.0001,,
12.9,42.9,0.0016,0.0011,0.0003,0.0001,0.0001,0.0001,,
13,42.9,0.0021,0.0016,0.0003,0.0001,0.0001,0.0001,,
13.1,42.9,0.0027,0.0019,0.0004,0,0.0001,0,,
13.2,42.9,0.0028,0.0025,0.0004,0.0001,0.0001,0,,
13.3,42.9,0.004,0.0033,0.0005,0.0001,0.0001,0,,
13.4,42.9,0.0045,0.0042,0.0006,0.0002,0.0002,0,,
13.5,42.9,0.0054,0.005,0.0004,0.0002,0.0001,0,,
13.6,42.9,0.0062,0.0063,0.0004,0.0003,0.0001,0,,
13.7,42.9,0.0063,0.0068,0.0002,0.0004,0,0.0001,,
